Series Name,Series Code,Country Name,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Rwanda,..,..,0.01095573,0.021026304,0.03637628,0.077573184,0.047984775,0.023614782,0.02410734,0.169979011,0.170231342,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Samoa,..,..,0.087220078,0.108281358,0.107510119,..,0.573882015,0.650305717,1.053531494,1.078518641,1.229491344,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,San Marino,..,..,16.0398049,17.74056942,19.41609151,21.05771708,31.68944219,32.53307047,36.98201473,36.60461606,37.56809217,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Sao Tome and Principe,..,..,0.204454007,0.255714616,0.328231254,0.402343089,0.41361418,0.506754131,0.555886842,0.647989703,0.686151772,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Saudi Arabia,..,..,3.975133767,5.365345126,6.279160979,7.029306677,8.979652222,10.12769838,10.32446733,11.92389753,10.80958193,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Senegal,..,..,0.386949986,0.466519481,0.607286293,0.695482928,0.696203219,0.755189171,0.710481063,0.672198851,0.639073483,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Serbia,..,..,5.695465551,7.411935683,10.86650128,12.4134366,13.71315027,15.23280802,15.56662123,17.37876703,18.94738964,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Seychelles,..,..,3.800805321,5.027766431,7.447811595,10.252835,11.45453167,13.36844826,12.67549782,14.31405593,14.90104897,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Sierra Leone,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Singapore,..,1.761017654,22.092629,24.84735045,26.35180486,27.12154021,27.01732367,27.59557606,26.71692494,26.45017696,25.44654773,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Slovak Republic,..,..,11.16601181,14.28663067,16.13993132,17.51936904,19.19824921,20.34889215,21.84052742,23.33891363,24.47242172,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Slovenia,..,..,20.9249829,21.96553451,22.90525121,23.97592184,24.63277131,25.31958299,26.77862509,27.36905899,28.2503192,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Solomon Islands,..,..,0.297890341,0.388376663,0.47906057,0.451675381,0.387919898,0.335690651,0.233039198,0.242950168,0.213395607,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Somalia,..,..,..,..,..,..,0.392344034,0.571669054,0.647809188,0.737230339,0.803762026,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,South Africa,..,..,0.847466259,0.945184357,1.444054491,1.745941759,2.113545014,3.060493447,3.211005186,2.634720283,2.841486292,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,South Sudan,..,..,..,..,1.93E-05,3.85E-05,0.000156862,0.000885256,0.000851882,0.001234332,0.001197048,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Spain,..,0.189554715,20.19291839,21.42007308,23.06605005,24.00950447,24.64903463,26.10878739,27.63110934,28.69316342,29.45343783,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Sri Lanka,..,..,0.49833792,0.823234513,1.099852742,1.715607517,1.677876286,1.994793644,2.646679824,2.896176087,4.098086111,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,St. Kitts and Nevis,..,..,21.72568969,25.12999942,27.88814181,23.78660022,24.26097342,24.54282076,25.58542773,29.57237793,29.31031401,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,St. Lucia,..,..,8.988965693,10.60844749,11.55092814,11.90376581,13.586001,13.55329643,15.34820641,15.37063973,15.92747454,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,St. Vincent and the Grenadines,..,..,8.578390956,10.53281952,11.43656921,12.11536527,12.44914193,13.35247273,13.45512064,15.50642749,19.98829864,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Sudan,..,..,0.107750422,..,0.03099747,0.04784397,0.066645429,0.067713604,0.053664935,0.069883241,0.064123281,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Suriname,..,..,1.116863159,1.743458426,2.884600731,4.371782747,5.47535175,6.878666953,8.530587857,9.607151713,12.88137494,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Swaziland,..,..,0.066901863,0.128144176,0.306583928,0.661959363,0.278557415,0.336130688,0.402302115,0.466737559,0.537284885,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Sweden,..,2.806492669,31.43444502,31.63264966,31.97017745,32.04011233,32.31072303,32.88664162,34.07038808,36.06645552,36.2831678,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Switzerland,..,0.78731927,33.40227742,35.40334671,37.20713045,38.89147463,40.16769702,42.56208317,42.47296117,45.10760917,46.27466695,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Syrian Arab Republic,..,..,0.054334855,0.164785794,0.324237889,0.55631068,1.106247226,1.580715297,2.279541439,3.143948465,4.011871871,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Tajikistan,..,..,0.050280045,0.059081053,0.061620547,0.064236678,0.067424232,0.070664197,0.072541782,0.069683303,0.068094997,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Tanzania,..,..,0.015162752,0.015918972,0.016796621,0.060982072,0.086484539,0.114561256,0.16667501,0.202712539,0.254405311,..
